"user_id","age","married","has_children","segment","perks","total_sessions","total_page_clicks","total_seconds_per_all_sessions","total_bookings","total_rooms","total_seats","total_bags","total_nights","total_not_cancelled_trips","total_cancelled_trips","total_trips_w_flights","total_trips_w_hotel","total_days_in_trip","total_weekdays_in_trip"
"94883","51","1","0","Business","One Night Free Hotel with Flight","8","73","542.000000","2","3","3","1","2","2","0","2","2","3","2"
"101486","50","1","1","Family","Exclusive Discounts","8","131","978.000000","2","3","1","0","9","2","0","1","2","4","2"
"101961","42","1","0","Solo","Free Hotel Meal","8","126","942.000000","5","5","5","2","22","5","0","5","5","24","14"
"106907","44","1","1","Family","Exclusive Discounts","8","240","6071.320529","1","6","12","10","22","0","1","1","1","13","9"
"118043","51","0","1","Family","Exclusive Discounts","8","164","1225.000000","5","5","6","3","24","5","0","3","4","14","7"
"125845","39","1","0","Business","One Night Free Hotel with Flight","9","159","1186.000000","3","4","4","2","7","3","0","3","3","10","7"
"133058","18","0","0","Group","No Cancellation Fees","8","73","545.000000","1","0","1","0","0","1","0","1","0","4","3"
"152583","36","0","0","Group","No Cancellation Fees","8","149","1112.000000","1","1","1","2","3","1","0","1","1","5","3"
"153982","44","0","1","Family","Exclusive Discounts","8","150","1108.000000","3","3","3","1","7","3","0","3","3","8","6"
"160754","45","1","1","Family","Exclusive Discounts","8","86","647.000000","1","1","1","1","3","1","0","1","1","4","2"
"164522","47","1","0","Business","One Night Free Hotel with Flight","8","89","667.000000","1","1","1","1","14","1","0","1","1","15","11"
"167852","17","0","0","Dreamer","10% Discount For the First Booking","8","63","464.000000","0","0","0","0","0","0","0","0","0","0","0"
"171470","23","0","0","Group","No Cancellation Fees","8","446","14740.000000","2","0","4","1","0","0","2","1","0","14","10"
"174997","31","0","0","Group","No Cancellation Fees","8","252","7934.000000","3","2","4","1","5","2","1","2","2","7","7"
"175032","28","0","0","Group","No Cancellation Fees","9","127","939.000000","3","6","4","1","13","3","0","2","3","7","4"
"181157","52","1","0","Business","One Night Free Hotel with Flight","8","153","1129.000000","3","6","6","3","11","3","0","3","3","14","12"
"182191","18","0","1","Family","Exclusive Discounts","8","148","5326.303752","1","0","2","1","0","0","1","0","0","0","0"
"187212","54","1","1","Family","Exclusive Discounts","8","128","950.000000","3","3","3","2","9","3","0","3","3","10","7"
"189676","35","0","1","Family","Exclusive Discounts","8","93","691.000000","2","4","3","2","19","2","0","1","2","6","5"
"190866","36","0","0","Group","No Cancellation Fees","9","186","1385.000000","5","5","5","2","14","5","0","5","5","16","13"
"195192","27","0","0","Business","One Night Free Hotel with Flight","8","225","1667.000000","1","2","2","0","1","1","0","1","1","3","3"
"204943","40","0","0","Group","No Cancellation Fees","8","292","8348.000000","6","10","10","9","54","5","1","6","6","40","29"
"204997","37","1","0","Business","One Night Free Hotel with Flight","8","439","11193.423602","4","6","8","3","22","2","2","3","2","18","12"
"205044","39","1","1","Family","Exclusive Discounts","9","134","993.000000","3","6","6","1","16","3","0","3","3","17","12"
"206011","38","0","1","Family","Exclusive Discounts","8","156","1169.000000","4","3","4","1","10","4","0","4","3","13","10"
"216796","21","0","0","Group","No Cancellation Fees","8","125","3930.627536","1","2","4","4","22","0","1","1","1","11","7"
"217114","19","1","1","Dreamer","10% Discount For the First Booking","9","59","449.000000","0","0","0","0","0","0","0","0","0","0","0"
"217136","38","0","1","Family","Exclusive Discounts","8","106","795.000000","2","2","1","0","5","2","0","1","2","3","3"
"220725","39","0","0","Group","No Cancellation Fees","9","316","8540.000000","4","4","5","1","19","3","1","4","3","23","17"
"224996","42","0","1","Family","Exclusive Discounts","8","102","757.000000","2","1","2","0","1","2","0","2","1","5","3"
"226367","42","0","0","Group","No Cancellation Fees","8","114","844.000000","3","4","4","2","8","3","0","3","3","9","8"
"228195","26","0","1","Dreamer","10% Discount For the First Booking","9","116","862.000000","0","0","0","0","0","0","0","0","0","0","0"
"228872","34","0","0","Group","No Cancellation Fees","8","126","944.000000","2","2","1","1","14","2","0","1","2","6","4"
"229009","16","0","0","Group","No Cancellation Fees","8","144","2118.283434","3","2","4","1","5","2","1","3","2","21","12"
"229330","46","1","0","Business","One Night Free Hotel with Flight","8","129","957.000000","4","7","7","1","10","4","0","4","4","14","9"
"232647","17","0","0","Group","No Cancellation Fees","8","100","751.000000","2","1","1","1","11","2","0","1","1","3","1"
"249521","58","1","1","Business","One Night Free Hotel with Flight","8","151","1125.000000","2","2","1","1","4","2","0","1","2","3","3"
"252835","37","0","1","Family","Exclusive Discounts","8","117","866.000000","5","4","5","3","13","5","0","5","4","21","15"
"258451","22","0","0","Group","No Cancellation Fees","8","167","1759.000000","1","2","0","0","26","0","1","0","1","0","0"
"276512","40","1","1","Family","Exclusive Discounts","8","98","731.000000","1","1","1","1","2","1","0","1","1","3","1"
"281952","36","0","0","Group","No Cancellation Fees","8","158","1171.000000","2","2","2","3","3","2","0","2","2","4","4"
"283325","50","1","0","Business","One Night Free Hotel with Flight","8","114","845.000000","2","3","1","0","7","2","0","1","2","6","5"
"290123","40","1","0","Business","One Night Free Hotel with Flight","9","190","1403.000000","7","10","11","6","20","7","0","7","6","16","10"
"297546","50","1","0","Business","One Night Free Hotel with Flight","8","207","1543.000000","5","7","6","3","29","5","0","4","5","19","14"
"298253","45","1","1","Family","Exclusive Discounts","8","98","734.000000","1","0","1","2","0","1","0","1","0","2","2"
"299476","38","1","0","Business","One Night Free Hotel with Flight","9","187","1387.000000","1","1","1","0","2","1","0","1","1","3","3"
